period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
143.0,0.0,300.4515299567568,128.86450681317302,27.69827531886944,37.400029867330616,0.0,14.202313552540677,0.0,6.726587194035089,0.0,9.792819152572282,0.0,0.0,0.0,0.0,0.0,11.695068761482808,0.0,12.970395154072685,0.0,0.0
144.0,0.0,326.14240034602676,165.10553086742243,27.69827531886944,110.661843739228,9.792819152572282,15.18220103930468,0.0,7.469957938494653,0.0,9.792819152572282,0.0,0.0,0.0,0.0,0.0,19.39048484754926,0.0,42.627342631399905,0.0,0.0
145.0,0.0,352.9644201884457,183.8932926302666,54.760982589352366,33.48566826293183,10.670224879319528,22.65215897779933,0.0,13.954579239685659,0.0,10.014550645070646,0.0,0.0,0.0,0.0,0.0,24.286771303728383,0.0,28.721231322177875,17.027821835953926,0.0
146.0,0.0,319.493727166824,169.33538529953535,26.58917051608983,57.80589136140616,9.34423064767946,16.37653552039577,0.0,0.0,0.0,10.014550645070646,0.0,0.0,0.0,0.0,0.0,3.3832942421827417,0.0,26.935495604290224,0.0,0.0
147.0,0.0,309.5358995241835,130.70019849446564,25.140028826196072,23.16313209478809,0.0,15.664259845793655,0.0,0.0,0.0,10.014550645070646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,249.66147440190545,145.13651252574587,53.49582936124318,0.0,0.0,8.424518775412142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,0.0,287.62053850913946,94.94930075070805,28.01243605578634,0.0,8.424518775412142,19.07551168862156,0.0,0.0,0.0,15.78490961287028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,277.6515601490875,131.32979209583,51.36074729702928,0.0,9.56940120558727,12.094472618836738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,0.0,256.3447838334705,89.85580311879018,23.662471978159836,97.57383187083983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.215508407283008,0.0,0.0,0.0,0.0,0.0,0.0
152.0,0.0,390.5948081107424,71.58381094968624,23.496419011337725,102.29458382418288,0.0,23.849004977032195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,375.84944846499315,82.16944814589549,23.16313209478809,34.95237234483283,0.0,29.586366911360265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,0.0,437.6999091031509,100.3950670336384,23.496419011337725,69.42434207873175,66.51454947099363,29.85325811641517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.845646137198319,0.0,0.0,0.0,0.0
155.0,0.0,360.52626014571734,131.047217441602,23.82813741730926,32.29672906885704,56.0139379272344,29.615870972526594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.06980402314661,0.0,0.0,0.0,0.0
156.0,0.0,379.67093103041583,92.46329078165412,24.48701213204886,35.67804719981574,36.67354241844208,39.031206016336874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99144101948106,0.0,16.76763557429988,0.0,0.0
157.0,0.0,425.52704742053936,107.68134318477499,27.066353937461933,34.07487062724004,0.0,17.312861206526406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.866523129596736,0.0,0.0,0.0,0.0
158.0,0.0,303.3397566012258,97.3993110385581,26.58917051608983,119.99182579851148,25.456817445920052,6.977289619842829,0.0,6.726587194035089,0.0,0.0,0.0,0.0,0.0,11.893871087712654,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,259.0780683663182,64.92756407888834,24.158323541071532,91.99669234310024,10.670224879319528,16.405919134635027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.162729830838108,0.0,4.29602493341461,0.0,0.0,0.0,0.0
160.0,0.0,270.81173265162386,75.03335145624246,25.772809639733048,0.0,18.513478692150002,17.77470266376415,0.0,6.977289619842829,0.0,0.0,0.0,0.0,0.0,5.69,0.0,8.252742928321634,0.0,0.0,0.0,0.0
161.0,0.0,249.05399670852233,49.96920411787045,24.650805328752586,87.74104056236737,0.0,13.954579239685659,0.0,0.0,3.695763410650092,0.0,0.0,0.0,0.0,26.79931606179659,0.0,4.100283579832059,0.0,0.0,0.0,0.0
162.0,0.0,280.8092681457683,26.74628638216998,24.158323541071532,34.66069614927868,0.0,53.42372896766341,0.0,0.0,3.3832942421827417,0.0,0.0,0.0,0.0,22.743268587811535,0.0,3.695763410650092,0.0,0.0,0.0,0.0
163.0,0.0,260.471911239533,38.477631559533194,23.82813741730926,34.95237234483283,0.0,46.41765339230092,0.0,5.69,3.0608765165061076,0.0,0.0,0.0,0.0,11.375828697211098,0.0,0.0,0.0,0.0,0.0,0.0
164.0,2.726689697370968,281.75604941371506,69.44759407384097,23.496419011337725,0.0,0.0,43.09119171278148,0.0,20.122212592603187,9.505047275194958,0.0,0.0,0.0,0.0,19.300545145746753,0.0,7.356901449920717,0.0,0.0,0.0,0.0
165.0,0.0,298.8623586339489,66.46397103581964,24.158323541071532,32.74426433335067,7.952016744983628,79.30944417384812,0.0,7.469957938494653,6.444170758688849,0.0,0.0,0.0,0.0,0.0,0.0,37.218318096186636,0.0,0.0,0.0,11.734355659025574
166.0,0.0,301.6269628750229,111.40103197113443,0.0,0.0,7.712243100810026,52.99123440656218,0.0,20.923132326564833,3.0608765165061076,0.0,0.0,0.0,0.0,0.0,0.0,22.782358993433085,0.0,0.0,0.0,0.0
167.0,0.0,235.17575676306973,77.81400389604875,25.772809639733048,0.0,7.712243100810026,36.85992168087965,0.0,13.697753763535953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.157767981082024,0.0,0.0,0.0,0.0
168.0,0.0,248.55968219092566,75.53807650320043,26.429475423781245,0.0,17.484508583565297,39.62692037678756,0.0,42.05724529937683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.743495165138988,0.0,0.0,0.0,13.57375204220715
169.0,0.0,263.0542505520325,64.40616522688492,23.329973941412586,0.0,10.670224879319528,16.36970926559453,0.0,48.339605039098416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.694374112315526,0.0,0.0,0.0,0.0
170.0,0.0,345.6214922573373,66.82023690643702,39.29955812787463,0.0,17.459681408415157,0.0,0.0,15.865632050957093,6.109983939553709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,0.0,272.7773862457995,55.4114488569758,24.48701213204886,0.0,9.34423064767946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18183283438751,0.0,4.5857271840569656,0.0,0.0,0.0,19.38128949980245
172.0,0.0,285.73519520367114,29.088704859663594,46.142038285045544,40.62929532845295,0.0,30.934660602258802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.726587194035089,0.0,0.0,0.0,0.0,0.0,0.0
173.0,0.0,225.1327537501474,85.52693790445073,51.57487803288004,27.382922271097485,0.0,7.469957938494653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.20794591169362,0.0,4.5857271840569656,0.0,0.0,0.0,0.0
174.0,0.0,158.1426208202759,67.02206052238114,25.78743901644002,33.7806976550332,6.977289619842829,16.81418858617411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.183340302851178,0.0,5.147760180528526,0.0,0.0,0.0,0.0
175.0,0.0,162.90253149941202,90.6973521511653,51.07618264813869,34.22163980820207,14.438830294845115,15.816960478517569,0.0,0.0,3.3832942421827417,0.0,0.0,0.0,0.0,58.35068716133826,0.0,0.0,0.0,0.0,0.0,5.421141256874546
